x-axis,1,2,3
second,Volt,Volt,Volt
-1.550000E-03,+91.959864E-03,+3.150376917E+00,+2.145351802E+00
-1.545000E-03,+100.125693E-03,+3.159170886E+00,+2.142211098E+00
-1.540000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-1.535000E-03,+91.959864E-03,+3.167336715E+00,+2.160427178E+00
-1.530000E-03,+91.959864E-03,+3.167336715E+00,+2.145351802E+00
-1.525000E-03,+91.959864E-03,+3.167336715E+00,+2.154145771E+00
-1.520000E-03,+91.959864E-03,+3.167336715E+00,+2.155402053E+00
-1.515000E-03,+93.844286E-03,+3.167336715E+00,+2.142211098E+00
-1.510000E-03,+91.959864E-03,+3.167336715E+00,+2.159170897E+00
-1.505000E-03,+91.959864E-03,+3.159170886E+00,+2.162311601E+00
-1.500000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-1.495000E-03,+91.959864E-03,+3.167336715E+00,+2.144095520E+00
-1.490000E-03,+91.959864E-03,+3.164196012E+00,+2.159170897E+00
-1.485000E-03,+91.959864E-03,+3.167336715E+00,+2.170477430E+00
-1.480000E-03,+91.959864E-03,+3.154145761E+00,+2.155402053E+00
-1.475000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-1.470000E-03,+91.959864E-03,+3.150376917E+00,+2.142211098E+00
-1.465000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-1.460000E-03,+85.050316E-03,+3.167336715E+00,+2.149120646E+00
-1.455000E-03,+91.959864E-03,+3.165452293E+00,+2.142211098E+00
-1.450000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-1.445000E-03,+103.894537E-03,+3.167336715E+00,+2.162311601E+00
-1.440000E-03,+91.959864E-03,+3.154145761E+00,+2.155402053E+00
-1.435000E-03,+91.959864E-03,+3.167336715E+00,+2.160427178E+00
-1.430000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-1.425000E-03,+91.959864E-03,+3.167336715E+00,+2.150376927E+00
-1.420000E-03,+78.768909E-03,+3.160427168E+00,+2.169221148E+00
-1.415000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-1.410000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-1.405000E-03,+91.959864E-03,+3.159170886E+00,+2.150376927E+00
-1.400000E-03,+91.959864E-03,+3.154145761E+00,+2.142211098E+00
-1.395000E-03,+91.959864E-03,+3.167336715E+00,+2.144095520E+00
-1.390000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-1.385000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-1.380000E-03,+91.959864E-03,+3.167336715E+00,+2.149120646E+00
-1.375000E-03,+93.844286E-03,+3.165452293E+00,+2.144095520E+00
-1.370000E-03,+91.959864E-03,+3.167336715E+00,+2.145351802E+00
-1.365000E-03,+91.959864E-03,+3.155402042E+00,+2.154145771E+00
-1.360000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-1.355000E-03,+91.959864E-03,+3.149120635E+00,+2.142211098E+00
-1.350000E-03,+91.959864E-03,+3.150376917E+00,+2.159170897E+00
-1.345000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-1.340000E-03,+78.768909E-03,+3.167336715E+00,+2.149120646E+00
-1.335000E-03,+91.959864E-03,+3.147236213E+00,+2.160427178E+00
-1.330000E-03,+91.959864E-03,+3.167336715E+00,+2.145351802E+00
-1.325000E-03,+91.959864E-03,+3.167336715E+00,+2.154145771E+00
-1.320000E-03,+98.869412E-03,+3.147236213E+00,+2.149120646E+00
