1793_1796

jehla  H  V  první pin       vst. SIG     UZEL
----- ------ ------------    --------     -------------------
P137  >> -   (21.5, 17.0)    IN:  875     1:SIGN785 —>§137
P162  >  ^^  (21.5, 18.0)    IN:  876     1:T1 —>§162
P221  >> vv  (21.0, 66.0)    IN:  846     2:SIGN388 —>§228
P335  >  -   (20.0, 67.0)    IN:  691     2:L3 —>§342
P296  >  -   (20.0, 68.0)    IN:  692     2:SIGN526 —>§303
P236  >> vv  (20.5, 67.0)    IN:  769     2:SIGN405 —>§243
P348  >  -   (20.5, 72.0)    IN:  774     2:SIGN548 —>§355
P373  >> ^^  (13.0, 22.0)    IN:   22     2:SIGN358 —>§373
P366  -  -   (13.0, 49.0)    IN:   49     1:M —>§178
P215  >  vv  (20.0,  7.0)    IN:  631     2:SIGN382 —>§222
P334  >  ^^  (20.0, 22.0)    IN:  646     2:L1 —>§341
P344  >  -   (20.0, 13.0)    IN:  637     2:SIGN416 —>§351
P289  << ^^  (20.5, 64.0)    IN:  766     2:SIGN519 —>§296
P291  -  v   (20.0, 63.0)    IN:  687     2:SIGN521 —>§298
P189  -  -   (****, ****)    IN:   **     2:ZOSC
P190  -  ^^  (****, ****)    IN:   **     2:ZOSC
P290  -  vv  (20.0, 58.0)    IN:  682     2:SIGN520 —>§297
P287  -  ^^  (20.5, 63.0)    IN:  765     2:SIGN517 —>§294
P288  -  -   (20.0, 64.0)    IN:  688     2:SIGN518 —>§295
P346  >> -   (20.0, 34.0)    IN:  658     2:SIGN527 —>§353
P299  >> ^^  (20.0, 24.0)    IN:  648     2:SIGN530 —>§306
P351  >  v   (20.0, 10.0)    IN:  634     2:SIGN350 —>§358
P352  >  -   (20.5,  9.0)    IN:  711     2:SIGN352 —>§359
P214  >  -   (20.5,  4.0)    IN:  706     2:SIGN381 —>§221
P371  >  ^^  (13.0, 21.0)    IN:   21     2:SIGN358 —>§371
P336  -  -   (20.0, 18.0)    IN:  642     2:SIGN356 —>§343
P337  >  vv  (20.0, 25.0)    IN:  649     2:SIGN377 —>§344
P345  >> -   (20.0, 13.0)    IN:  637     2:SIGN416 —>§351
P225  << ^^  (20.5, 75.0)    IN:  777     2:SIGN392 —>§232
P202  >> -   (20.5, 73.0)    IN:  775     2:P6V2 —>§209
P226  >> -   (20.5, 51.0)    IN:  753     2:SIGN393 —>§233
P297  -  ^   (20.5, 33.0)    IN:  735     2:SIGN528 —>§304
P301  >> -   (20.0, 21.0)    IN:  645     2:SIGN532 —>§308
P300  -  vv  (20.5, 25.0)    IN:  727     2:SIGN531 —>§307
P302  -  -   (20.5, 23.0)    IN:  725     2:SIGN533 —>§309
