Product,GWInstek,GDM9061,GEW921489,1.12,1.14
FileName,DMM DataLog-DMM DataLog-PIN4.csv.csv_0.csv
Function(1ST),DC Voltage,100/s
Function(2ND),OFF,NONE
LogUnit,Auto
MathFunction,Off
Interval,00:00:00.032
Software,V1.06,20200921,Win 10 64bit 
==========
Index,Time,1ST Value,Unit1,2ND Value,Unit2
182,2023/05/04 00:32:48.0,+02.15084,VDC,--------,---
183,2023/05/04 00:32:48.0,+02.15081,VDC,--------,---
184,2023/05/04 00:32:48.0,+02.15081,VDC,--------,---
185,2023/05/04 00:32:48.1,+02.15080,VDC,--------,---
186,2023/05/04 00:32:48.1,+02.15081,VDC,--------,---
187,2023/05/04 00:32:48.1,+02.15081,VDC,--------,---
188,2023/05/04 00:32:48.2,+02.15081,VDC,--------,---
189,2023/05/04 00:32:48.2,+02.15081,VDC,--------,---
190,2023/05/04 00:32:48.2,+02.15079,VDC,--------,---
191,2023/05/04 00:32:48.3,+02.15079,VDC,--------,---
192,2023/05/04 00:32:48.3,+02.15080,VDC,--------,---
193,2023/05/04 00:32:48.3,+02.15080,VDC,--------,---
194,2023/05/04 00:32:48.4,+02.15080,VDC,--------,---
195,2023/05/04 00:32:48.4,+02.15080,VDC,--------,---
196,2023/05/04 00:32:48.4,+02.15079,VDC,--------,---
197,2023/05/04 00:32:48.5,+02.15079,VDC,--------,---
198,2023/05/04 00:32:48.5,+02.15079,VDC,--------,---
199,2023/05/04 00:32:48.5,+02.15079,VDC,--------,---
200,2023/05/04 00:32:48.5,+02.15079,VDC,--------,---
201,2023/05/04 00:32:48.6,+02.15079,VDC,--------,---
202,2023/05/04 00:32:48.6,+02.15078,VDC,--------,---
203,2023/05/04 00:32:48.6,+02.15078,VDC,--------,---
204,2023/05/04 00:32:48.7,+02.15078,VDC,--------,---
205,2023/05/04 00:32:48.7,+02.15078,VDC,--------,---
206,2023/05/04 00:32:48.7,+02.15078,VDC,--------,---
207,2023/05/04 00:32:48.8,+02.15078,VDC,--------,---
208,2023/05/04 00:32:48.8,+02.15078,VDC,--------,---
209,2023/05/04 00:32:48.8,+02.15079,VDC,--------,---
210,2023/05/04 00:32:48.9,+02.15080,VDC,--------,---
211,2023/05/04 00:32:48.9,+02.15081,VDC,--------,---
212,2023/05/04 00:32:48.9,+02.15081,VDC,--------,---
213,2023/05/04 00:32:49.0,+02.15080,VDC,--------,---
214,2023/05/04 00:32:49.0,+02.15080,VDC,--------,---
215,2023/05/04 00:32:49.0,+02.15079,VDC,--------,---
216,2023/05/04 00:32:49.1,+02.15080,VDC,--------,---
217,2023/05/04 00:32:49.1,+02.15081,VDC,--------,---
218,2023/05/04 00:32:49.1,+02.15081,VDC,--------,---
219,2023/05/04 00:32:49.2,+02.15081,VDC,--------,---
220,2023/05/04 00:32:49.2,+02.15080,VDC,--------,---
221,2023/05/04 00:32:49.2,+02.15079,VDC,--------,---
222,2023/05/04 00:32:49.3,+02.15080,VDC,--------,---
223,2023/05/04 00:32:49.3,+02.15081,VDC,--------,---
224,2023/05/04 00:32:49.3,+02.15082,VDC,--------,---
225,2023/05/04 00:32:49.3,+02.15083,VDC,--------,---
226,2023/05/04 00:32:49.4,+02.15083,VDC,--------,---
227,2023/05/04 00:32:49.4,+02.15083,VDC,--------,---
228,2023/05/04 00:32:49.4,+02.15084,VDC,--------,---
229,2023/05/04 00:32:49.5,+02.15084,VDC,--------,---
230,2023/05/04 00:32:49.5,+02.15084,VDC,--------,---
231,2023/05/04 00:32:49.5,+02.15086,VDC,--------,---
232,2023/05/04 00:32:49.6,+02.15086,VDC,--------,---
233,2023/05/04 00:32:49.6,+02.15087,VDC,--------,---
234,2023/05/04 00:32:49.6,+02.15088,VDC,--------,---
235,2023/05/04 00:32:49.7,+02.15089,VDC,--------,---
236,2023/05/04 00:32:49.7,+02.15089,VDC,--------,---
237,2023/05/04 00:32:49.7,+02.15090,VDC,--------,---
238,2023/05/04 00:32:49.8,+02.15090,VDC,--------,---
239,2023/05/04 00:32:49.8,+02.15089,VDC,--------,---
240,2023/05/04 00:32:49.8,+02.15090,VDC,--------,---
241,2023/05/04 00:32:49.9,+02.15089,VDC,--------,---
242,2023/05/04 00:32:49.9,+02.15089,VDC,--------,---
243,2023/05/04 00:32:49.9,+02.15090,VDC,--------,---
244,2023/05/04 00:32:50.0,+02.15089,VDC,--------,---
